Date,ProductID,StoreID,UserID,UnitsSold,Price,TotalEarn
1/1/2023,P022,ST001,U003,9,55.8,502.2
1/1/2023,P032,ST002,U060,10,909,9090
1/1/2023,P009,ST002,U078,4,49.8,199.2
1/1/2023,P019,ST002,U026,7,4899,34293
1/1/2023,P046,ST002,U079,1,130.8,130.8
1/1/2023,P028,ST001,U080,3,111.8,335.4
1/1/2023,P021,ST001,U057,7,55.8,390.6
1/1/2023,P023,ST001,U091,3,1049,3147
1/1/2023,P039,ST001,U017,3,70.8,212.4
1/1/2023,P011,ST002,U008,2,399,798
1/1/2023,P018,ST002,U039,9,49.8,448.2
1/1/2023,P009,ST001,U005,5,49.8,249
1/1/2023,P028,ST001,U050,10,111.8,1118
1/1/2023,P004,ST002,U014,4,49.8,199.2
1/1/2023,P025,ST001,U046,4,130.8,523.2
1/1/2023,P022,ST002,U066,8,55.8,446.4
1/1/2023,P037,ST001,U028,4,42.8,171.2
1/1/2023,P021,ST002,U009,4,55.8,223.2
1/1/2023,P037,ST002,U051,1,42.8,42.8
1/2/2023,P032,ST002,U047,3,909,2727
1/2/2023,P026,ST001,U077,2,130.8,261.6
1/2/2023,P007,ST002,U097,1,49.8,49.8
1/2/2023,P035,ST002,U064,1,909,909
1/2/2023,P040,ST002,U054,5,35.8,179
1/2/2023,P016,ST001,U029,8,42.8,342.4
1/2/2023,P005,ST001,U073,5,49.8,249
1/2/2023,P009,ST002,U064,5,49.8,249
1/2/2023,P024,ST002,U004,10,49.8,498
1/2/2023,P044,ST002,U060,9,55.8,502.2
1/2/2023,P042,ST001,U018,10,4199,41990
1/2/2023,P022,ST002,U018,5,55.8,279
1/2/2023,P004,ST001,U034,1,49.8,49.8
1/2/2023,P010,ST002,U086,4,111.8,447.2
1/2/2023,P008,ST001,U080,3,49.8,149.4
1/3/2023,P005,ST002,U013,10,49.8,498
1/3/2023,P023,ST002,U098,7,1049,7343
1/3/2023,P028,ST001,U091,7,111.8,782.6
1/3/2023,P012,ST001,U089,7,337,2359
1/3/2023,P047,ST001,U012,7,2392.8,16749.6
1/3/2023,P024,ST002,U004,2,49.8,99.6
1/3/2023,P041,ST002,U095,1,95.8,95.8
1/3/2023,P013,ST001,U071,10,49.8,498
1/4/2023,P031,ST001,U025,10,55.8,558
1/4/2023,P032,ST001,U085,7,909,6363
1/4/2023,P046,ST001,U016,6,130.8,784.8
1/4/2023,P008,ST002,U079,2,49.8,99.6
1/4/2023,P033,ST002,U002,3,55.8,167.4
1/4/2023,P015,ST002,U051,2,42.8,85.6
1/4/2023,P041,ST001,U022,7,95.8,670.6
1/4/2023,P018,ST002,U088,8,49.8,398.4
1/4/2023,P028,ST002,U031,7,111.8,782.6
1/4/2023,P021,ST002,U099,10,55.8,558
1/4/2023,P040,ST001,U067,6,35.8,214.8
1/4/2023,P026,ST002,U049,2,130.8,261.6
1/4/2023,P040,ST002,U015,9,35.8,322.2
1/5/2023,P015,ST002,U044,2,42.8,85.6
1/5/2023,P016,ST002,U080,4,42.8,171.2
1/5/2023,P041,ST002,U097,10,95.8,958
1/5/2023,P008,ST002,U068,7,49.8,348.6
1/5/2023,P030,ST002,U066,3,111.8,335.4
1/6/2023,P019,ST002,U069,7,4899,34293
1/6/2023,P046,ST002,U073,6,130.8,784.8
1/6/2023,P012,ST001,U042,9,337,3033
1/6/2023,P027,ST001,U046,2,49.8,99.6
1/6/2023,P040,ST001,U057,3,35.8,107.4
1/6/2023,P020,ST001,U076,10,130.8,1308
1/6/2023,P010,ST002,U041,10,111.8,1118
1/6/2023,P004,ST001,U048,10,49.8,498
1/7/2023,P044,ST002,U100,4,55.8,223.2
1/7/2023,P026,ST002,U047,8,130.8,1046.4
1/7/2023,P011,ST001,U097,10,399,3990
1/7/2023,P012,ST002,U028,5,337,1685
1/7/2023,P014,ST002,U093,6,42.8,256.8
1/7/2023,P047,ST001,U100,3,2392.8,7178.4
1/7/2023,P028,ST001,U016,6,111.8,670.8
1/7/2023,P036,ST002,U061,10,120.6,1206
1/7/2023,P042,ST002,U002,2,4199,8398
1/7/2023,P003,ST001,U094,7,1049,7343
1/7/2023,P018,ST001,U097,8,49.8,398.4
1/7/2023,P011,ST001,U074,2,399,798
1/8/2023,P035,ST002,U094,1,909,909
1/8/2023,P015,ST002,,3,42.8,128.4
1/8/2023,P025,ST001,U026,1,130.8,130.8
1/8/2023,P022,ST001,U048,10,55.8,558
1/8/2023,P015,ST001,U060,6,42.8,256.8
1/8/2023,P004,ST001,U096,7,49.8,348.6
1/8/2023,P017,ST002,U025,5,49.8,249
1/8/2023,P007,ST002,U079,4,49.8,199.2
1/8/2023,P018,ST002,U041,8,49.8,398.4
1/8/2023,P045,ST002,U091,5,111.8,559
1/8/2023,P012,ST002,U087,8,337,2696
1/8/2023,P020,ST001,U060,1,130.8,130.8
1/8/2023,P016,ST002,U079,5,42.8,214
1/8/2023,P022,ST002,U028,4,55.8,223.2
1/8/2023,P004,ST002,U012,8,49.8,398.4
1/9/2023,P020,ST002,U078,9,130.8,1177.2
1/9/2023,P028,ST002,U018,4,111.8,447.2
1/9/2023,P048,ST001,U092,2,909,1818
1/9/2023,P048,ST001,U019,8,909,7272
1/9/2023,P032,ST001,U041,8,909,7272
1/9/2023,P027,ST002,U077,5,49.8,249
1/9/2023,P042,ST002,U099,1,4199,4199
1/9/2023,P023,ST001,U095,1,1049,1049
1/9/2023,P018,ST002,U083,5,49.8,249
1/9/2023,P034,ST002,U007,7,49.8,348.6
1/9/2023,P007,ST001,U086,5,49.8,249
1/9/2023,P021,ST001,U011,1,55.8,55.8
1/10/2023,P024,ST001,U042,8,49.8,398.4
1/10/2023,P014,ST001,U058,4,42.8,171.2
1/10/2023,P011,ST002,U028,3,399,1197
1/10/2023,P024,ST001,U055,7,49.8,348.6
1/10/2023,P050,ST002,U084,4,130.8,523.2
1/10/2023,P041,ST002,U013,10,95.8,958
1/10/2023,P009,ST002,U081,5,49.8,249
1/10/2023,P008,ST001,U010,1,49.8,49.8
1/10/2023,P018,ST001,U064,3,49.8,149.4
1/10/2023,P043,ST002,U039,1,70.8,70.8
1/10/2023,P014,ST002,U024,1,42.8,42.8
1/11/2023,P049,ST001,U071,3,70.8,212.4
1/11/2023,P043,ST002,U023,5,70.8,354
1/11/2023,P003,ST001,U037,10,1049,10490
1/11/2023,P006,ST001,U006,5,49.8,249
1/11/2023,P013,ST001,U058,3,49.8,149.4
1/11/2023,P015,ST001,U001,9,42.8,385.2
1/12/2023,P028,ST002,U013,4,111.8,447.2
1/12/2023,P046,ST001,U044,4,130.8,523.2
1/12/2023,P039,ST002,U084,8,70.8,566.4
1/12/2023,P012,ST002,U056,9,337,3033
1/12/2023,P001,ST002,U016,9,55.8,502.2
1/12/2023,P024,ST001,U089,5,49.8,249
1/12/2023,P008,ST001,U094,9,49.8,448.2
