horizon,mae,rmse,r2
1,1.7573404799789096,1.7573404799789096,
3,1.972521549550286,2.0490907572078574,-0.18090488692100104
5,1.2768112531691762,1.5998583242756923,-0.1426547579259938
7,2.3176701134347746,3.924898962443651,-0.1794324396940179
30,1.5180364018495502,2.486816304452229,-0.05733848762927396
1,0.17657297304224606,0.17657297304224606,
3,0.5491769326520634,0.7426409695704822,-1.4818202435806356
5,0.8324579113346378,0.9846463245349858,-0.731300686464744
7,0.8359857313403604,0.9661667883691908,-0.6335869601583644
30,1.1106893299590141,1.313819315030248,-0.3289213629528611
1,3.0444341841080074,3.0444341841080074,
3,1.5215480230724119,1.8823255508328944,0.24075368300320865
5,1.1870287981999623,1.5400092843392792,0.19877412302325048
7,1.1228043284636924,1.4006433102875637,0.2931743937499124
30,1.3224679872307865,1.5630171695446122,-0.029363485515976784
1,1.8541791816858648,1.8541791816858648,
3,1.688829752675587,2.090437658092095,-0.5126679392817719
5,1.26291843225413,1.708839153428206,-0.1406762704254796
7,1.3113792165722022,1.7150080908149308,-0.18132282644650033
30,1.1898347826229805,1.4695237130374017,-0.05857840351923138
1,0.8052036927448545,0.8052036927448545,
3,0.9507120874444488,1.0770892657267304,-0.7401819295156207
5,1.09811604903834,1.1935734225389074,-1.5439598481986452
7,1.330915196913866,1.4752556443220748,-3.101637753427034
30,1.1188665167346632,1.2934643139016548,-0.39939120650870885
1,2.4653827254741287,2.4653827254741287,
3,0.9590998224976964,1.439770094210045,-8.328220658817207
5,1.3917635527115872,1.7758623265869695,-0.7139603277124376
7,1.2773325290718183,1.6014345895367952,-0.6534874274168327
30,1.355079704794558,2.174924159236025,-0.28657164961791426
1,0.13640511383765386,0.13640511383765386,
3,4.3939622610281,5.658134546997206,-1.9401059078296896
5,3.237733338791371,4.493409252755554,-0.8695117326619655
7,2.6026898773742237,3.843082705446346,-0.5463567294105547
30,1.4467354342219394,2.236133837130661,-0.35183691312845444
1,0.8241789395405421,0.8241789395405421,
3,1.3297899215399138,1.586736069604448,-0.2588656772918856
5,2.2357352192594178,2.616557523117865,-1.4451333113516776
7,1.7329047862089493,2.234633234197814,-0.491985968766389
30,1.3687676389443684,1.8449337377764334,-0.2866032957190885
1,0.26164744656787065,0.26164744656787065,
3,1.595850765316481,2.0285404523394583,-0.42441489619223693
5,1.694789076037885,2.096572622643197,-0.5698631292917764
7,1.4208326909799338,1.8398001145278362,-0.33756740814044583
30,1.2060339830609024,1.5614133447069767,-0.24671049416257107
1,2.979447204802792,2.979447204802792,
3,2.241697173007051,2.4627206800738937,-1.0994207050989457
5,1.8075905589565617,2.1628149974153783,-0.2440874236821493
7,1.6706137951564217,1.9780921365085942,-0.1690827836910953
30,1.4680572033731036,1.7484384623603229,-0.10762212197859733
1,0.7117599431971462,0.7117599431971462,
3,2.1816988478598884,2.6828851469391335,-0.19964545194443617
5,2.05764839742301,2.392264398651894,-0.05200899872376996
7,1.6620047096268917,2.0675111127569443,-0.006997633977401385
30,1.138598501817177,1.5082217763502361,-0.03606256780939088
1,2.8256876430460083,2.8256876430460083,
3,1.5645404586882095,1.8489332474692102,-1.1976419558838112
5,1.088745161956429,1.4523452903690266,-1.0281796562087426
7,0.993681232067351,1.312560980069204,-1.11044999984028
30,1.1457321741149487,1.5635075884363678,-0.6418659561106685
